onset,muted,offset,
120.6755556,Y,120.8206803,
120.9295238,Y,121.0993197,
121.1657143,Y,121.3126531,
121.3765079,Y,121.8002721,
122.0495238,Y,122.2487075,
122.5015873,Y,122.7493878,
122.9561905,Y,123.6070748,
123.8262132,Y,123.924898,
124.0584127,Y,124.4821769,
124.7317914,Y,124.8391837,
124.9639909,Y,125.422585,
125.6605896,Y,125.8405442,
126.1249887,Y,126.3063946,
126.5545578,Y,126.72,
126.7925624,Y,127.1989116,
127.4427211,Y,127.5297959,
127.6981406,Y,128.0696599,
128.3308844,Y,128.4440816,
128.5863039,Y,129.0106122,
129.2654875,Y,129.4873469,
129.7008617,Y,129.9297959,
130.1826757,Y,130.3510204,
130.4032653,Y,130.8326531,
131.5236281,Y,131.7110204,
131.7326077,Y,131.915102,
131.9764172,Y,132.1534694,
132.2028118,Y,132.5730612,
132.8703855,Y,133.0742857,
133.0909751,Y,133.2653061,
133.3173696,Y,133.4726531,
133.5379592,Y,133.7044898,
133.7643537,Y,133.9036735,
133.9849433,Y,134.4457143,
135.1053061,Y,135.2571429,
135.3607256,Y,135.5297959,
135.5813152,Y,135.7409524,
135.8019048,Y,136.2318367,
136.4752834,Y,136.6889796,
136.9396825,Y,137.1902041,
137.3866667,Y,137.5787755,
137.6362812,Y,138.0571429,
