onset,muted,offset,
86.11120181,Y,86.30857143,
86.38984127,Y,86.59882086,
86.66848073,Y,86.84263039,
86.9355102,Y,87.13287982,
87.21414966,Y,87.41151927,
87.50439909,Y,87.72498866,
87.78303855,Y,87.98040816,
88.061678,Y,88.25904762,
88.34031746,Y,88.56090703,
88.63056689,Y,88.82793651,
88.89759637,Y,89.09496599,
89.15301587,Y,89.3968254,
89.42004535,Y,89.64063492,
89.71029478,Y,89.95410431,
90.00054422,Y,90.19791383,
90.27918367,Y,90.47655329,
90.54621315,Y,90.7784127,
90.84807256,Y,91.0338322,
91.11510204,Y,91.31247166,
91.3937415,Y,91.61433107,
91.67238095,Y,91.88136054,
91.93941043,Y,92.18321995,
92.22965986,Y,92.42702948,
92.49668934,Y,92.69405896,
92.78693878,Y,93.01913832,
93.07718821,Y,93.27455782,
93.33260771,Y,93.52997732,
93.59963719,Y,93.84344671,
93.87827664,Y,94.08725624,
94.16852608,Y,94.38911565,
94.43555556,Y,94.63292517,
94.72580499,Y,94.9231746,
95.00444444,Y,95.21342404,
95.29469388,Y,95.49206349,
95.55011338,Y,95.75909297,
95.81714286,Y,96.02612245,
96.08417234,Y,96.72272109,
